risk,zip,latitude,longitude,facility_type,dba_name,address,neighborhood
Risk 3 (Low),60629.0,41.7734533884,-87.7031568346,other,"el primo. 1, inc.",6600 s kedzie ave ,Chicago Lawn
Risk 1 (High),60623.0,41.836788483,-87.7233568548,grocery store,el progreso,3937 w 31st st ,Little Village
Risk 1 (High),60617.0,41.7364378988,-87.5515553008,restaurant,el progreso,8730 s commercial ave ,South Chicago
Risk 3 (Low),60623.0,41.836788483,-87.7233568548,other,el progresso inc,3937 w 31st st ,Little Village
Risk 1 (High),60632.0,41.8011729413,-87.6896417279,restaurant,el publano,2610 w 51st st ,Gage Park
Risk 1 (High),60626.0,42.003868657,-87.6727533925,restaurant,el pueblito,6712 n clark st ,Rogers Park
Risk 1 (High),60626.0,42.003868657,-87.6727533925,restaurant,el pueblito #1,6712 n clark st ,Rogers Park
Risk 1 (High),60625.0,41.9683353211,-87.7088698444,restaurant,el pueblito #5,3209 w lawrence ave ,Albany Park
Risk 1 (High),60626.0,42.003868657,-87.6727533925,restaurant,el pueblito aliah,6712 n clark st ,Rogers Park
Risk 1 (High),60630.0,41.9750439927,-87.7481333194,restaurant,el pueblito mexican grill,5152 n cicero ave ,"Sauganash,Forest Glen"
Risk 1 (High),60659.0,41.997914458,-87.6855438834,restaurant,el pueblo,2212 w devon ave ,West Ridge
Risk 1 (High),60659.0,41.997914458,-87.6855438834,restaurant,el pueblo #1,2212 w devon ave ,West Ridge
Risk 1 (High),60626.0,42.003868657,-87.6727533925,restaurant,el pueblo 5,6712 n clark st ,Rogers Park
Risk 1 (High),60632.0,41.8164268808,-87.7002065073,restaurant,el puerto de san blas,4231 s archer ave ,Brighton Park
Risk 1 (High),60617.0,41.7055064825,-87.5351394532,restaurant,el puestecito,10429 1/2 s ewing ave ,East Side
Risk 3 (Low),60630.0,41.9750439927,-87.7481333194,other,el ranchito,5152 n cicero ave ,"Sauganash,Forest Glen"
Risk 2 (Medium),60652.0,41.741374167,-87.721506394,grocery store,el ranchito food,8327-29 s pulaski rd ,Ashburn
Risk 1 (High),60629.0,41.764236587,-87.7200098733,grocery store,el ranchito food market,3900-3904 w 71st ,West Lawn
Risk 1 (High),60608.0,41.8579682978,-87.6659991015,other,el ranchito san marcos restaurant,1723 s ashland ave ,Lower West Side
Risk 1 (High),60617.0,41.7044728249,-87.5354310059,grocery store,el rancho,10500 s ewing ave ,East Side
Risk 3 (Low),60623.0,41.8351753966,-87.7232334326,other,el rancho fruteria,3158 s harding ave ,Little Village
Risk 1 (High),60639.0,41.9314550116,-87.7442034053,restaurant,el rebozo,4701 w diversey ave ,Belmont Cragin
Risk 3 (Low),60647.0,41.9121566,-87.6971909597,other,el recuerdo groc & liq str inc,1664-1666 n california ave ,Humboldt Park
Risk 1 (High),60641.0,41.9607046549,-87.7395693536,restaurant,el restaurante tinajon,4425 w montrose ave ,Irving Park
Risk 1 (High),60626.0,42.0115813638,-87.6746142313,restaurant,el rey del taco,7104 n clark st ,Rogers Park
Risk 1 (High),60632.0,41.805482015,-87.7180407219,restaurant,el rey del taco & burrito,4835-4837 s archer ave ,Archer Heights
Risk 1 (High),60632.0,41.8175183574,-87.6943431501,restaurant,el rey del taco & burritos,4157 s california ave ,Brighton Park
Risk 1 (High),60622.0,41.9106756117,-87.6722046581,restaurant,el rincon azteca,1752 w north ave ,Wicker Park
Risk 1 (High),60629.0,41.7734533884,-87.7031568346,restaurant,el rincon de jalisco,6600 s kedzie ave ,Chicago Lawn
Risk 3 (Low),60608.0,41.8412634886,-87.6584792188,other,el rincon de juan mexican seafood restaurant,2923 s archer ave ,Bridgeport
Risk 1 (High),60639.0,41.9310291091,-87.7760247449,other,el rincon de tabasco,6001 w diversey ave ,Belmont Cragin
Risk 1 (High),60707.0,41.9236557414,-87.8019045214,restaurant,el rincon del sabor y algo mas corp.,7026 w grand ave ,Montclare
Risk 1 (High),60632.0,41.7935877284,-87.7060683051,restaurant,el rincon norteno  inc,3300 w 55th st ,Gage Park
Risk 1 (High),60625.0,41.9685442961,-87.7103882755,restaurant,el rio restaurant,3246 w lawrence ave ,Albany Park
Risk 1 (High),60639.0,41.9239690049,-87.773714212,grocery store,el rodeo inc,5908 w fullerton ave ,Belmont Cragin
Risk 3 (Low),60632.0,41.8077304081,-87.7260904941,grocery store,el rodeo super mercado,4101 w 47th st ,Archer Heights
Risk 3 (Low),60632.0,41.8077304081,-87.7260904941,grocery store,el rodeo super mercado inc.,4101 w 47th st ,Archer Heights
Risk 3 (Low),60625.0,41.9686666778,-87.6956345479,other,el romance,2644 w lawrence ave ,Lincoln Square
Risk 3 (Low),60625.0,41.9686680551,-87.6954774854,other,el rondador,2640 w lawrence ave ,Lincoln Square
Risk 1 (High),60645.0,42.01763733,-87.6842790145,daycare combo 1586,el ruisenor - daycare center,7463 n ridge blvd ,Rogers Park
Risk 1 (High),60645.0,42.0089177291,-87.6903163562,children's services facility,el ruisenor azul academy,7008-7010 n western ave ,West Ridge
Risk 1 (High),60707.0,41.93092528,-87.8013096899,restaurant,el sabor de mi comda mexicana,7006 w diversey ave ,Montclare
Risk 2 (Medium),60608.0,41.8577801793,-87.6604521184,bakery,el sabor del triunfo,1339 w 18th st ,Lower West Side
Risk 1 (High),60647.0,41.9247696036,-87.7121699327,restaurant,el sabor latino,3400 w fullerton ave ,Logan Square
Risk 1 (High),60647.0,41.9319176843,-87.7255447547,restaurant,el sabor pizzeria and roasted chicken,3924 w diversey ave ,Avondale
Risk 3 (Low),60639.0,41.9170244708,-87.7290588508,other,el sabroso,4101 w armitage ave ,Hermosa
Risk 3 (Low),60639.0,41.9170244708,-87.7290588508,other,el sabroson,4101 w armitage ave ,Hermosa
Risk 1 (High),60632.0,41.8184643448,-87.6968800375,restaurant,el salvador restaurant,4125 s archer ave ,Brighton Park
Risk 2 (Medium),60647.0,41.9249808227,-87.6907397676,restaurant,el samaritano grill,2514 w fullerton ave ,Logan Square
Risk 1 (High),60617.0,41.702851906,-87.5371392924,restaurant,"el sazon boricua, inc.",3544 e 106th st ,East Side
Risk 1 (High),60639.0,41.920676631,-87.775630269,restaurant,el sazon de victoria,6000 w grand ave ,Belmont Cragin
Risk 1 (High),60609.0,41.8162072607,-87.6653018166,other,el secre,4248 s ashland ave ,New City
Risk 2 (Medium),60617.0,41.7035950062,-87.5597619273,grocery store,"el selecto products, l.l.c.",10532 s torrence ave ,South Deering
Risk 1 (High),60632.0,41.8085319011,-87.6855906023,restaurant,el sembrador,2430 w 47th st ,Brighton Park
Risk 1 (High),60639.0,41.909910583,-87.7326982413,restaurant,el senor tamal,4234 w north ave ,Humboldt Park
Risk 1 (High),60651.0,41.9043094209,-87.7261954858,restaurant,el sitio,1255 n pulaski rd ,Humboldt Park
Risk 1 (High),60608.0,41.8520328802,-87.6937880756,restaurant,el sol de michoacan,2716 w cermak rd ,Little Village
Risk 1 (High),60622.0,41.896165935,-87.6759854741,restaurant,el sol restaurant inc.,806 n winchester ave ,East Village
Risk 1 (High),60629.0,41.7913494237,-87.723255323,restaurant,el solazo,5600 s pulaski rd ,West Elsdon
Risk 1 (High),60632.0,41.8093327286,-87.7234916326,restaurant,el sombrero,4611 s pulaski rd ,Archer Heights
Risk 1 (High),60610.0,41.8969929631,-87.6283545054,restaurant,"el souk restaurant, inc",808 n state st ,Rush & Division
Risk 1 (High),60641.0,41.938483211,-87.7650472794,restaurant,el spot cafe llc,5525 w belmont ave ,Belmont Cragin
Risk 1 (High),60632.0,41.8085319011,-87.6855906023,restaurant,el super taco loco,2430 w 47th st ,Brighton Park
Risk 2 (Medium),60632.0,41.8153006937,-87.7020416008,grocery store,el supermercado martinez,4301 s archer ave ,Brighton Park
Risk 2 (Medium),60609.0,41.812105153,-87.6700718335,grocery store,el sur foods,4500 s wood st ,New City
Risk 2 (Medium),60644.0,41.8656037238,-87.7717365934,restaurant,el surtidazo botanero,5900 w roosevelt rd ,Austin
Risk 1 (High),60608.0,41.8519948042,-87.680313249,restaurant,el taco azteca,2151 w cermak rd ,Lower West Side
Risk 1 (High),60641.0,41.9458099176,-87.7634414622,restaurant,el taco feliz taqueria,5439 w addison st ,Portage Park
Risk 1 (High),60641.0,41.9458099176,-87.7634414622,restaurant,"el taco feliz, inc.",5439 w addison st ,Portage Park
Risk 3 (Low),60640.0,41.9689579673,-87.672186341,other,el taco loca restaurant,1726 w lawrence ave ,Uptown
Risk 1 (High),60622.0,41.8957861615,-87.6934274553,restaurant,el taco naco,2640 w chicago ave ,Humboldt Park
Risk 1 (High),60652.0,41.7407462213,-87.7217786383,restaurant,el taco sabroso #1 inc,8346 s pulaski rd ,Ashburn
Risk 1 (High),60652.0,41.7407462213,-87.7217786383,restaurant,el taco sabroso inc.,8346 s pulaski rd ,Ashburn
Risk 1 (High),60622.0,41.8958926562,-87.6715624548,restaurant,el taco veloz taqueria,1745 w chicago ave ,West Town
Risk 1 (High),60639.0,41.9294953006,-87.7663302984,restaurant,el taconazo  la fiesta inc.,2700 n central ave ,Belmont Cragin
Risk 1 (High),60639.0,41.9245076908,-87.7339803257,restaurant,el taconazo jr.,4256 w fullerton ave ,Hermosa
Risk 1 (High),60608.0,41.8521428469,-87.685281735,restaurant,el taconazo restaurant,2350 w cermak rd ,Lower West Side
Risk 1 (High),60639.0,41.9099465503,-87.7299503714,restaurant,el taconazo restaurant,4124 w north ave ,Humboldt Park
Risk 1 (High),60629.0,41.7866229574,-87.7032111998,restaurant,el taconazo restaurant,5849 s kedzie ave ,Gage Park
Risk 1 (High),60617.0,41.7034828719,-87.5597599899,restaurant,el taconcito,10536 s torrence ave ,South Deering
Risk 1 (High),60632.0,41.7991664566,-87.7231861266,restaurant,el taconzazo,5145 s pulaski rd ,West Elsdon
Risk 1 (High),60608.0,41.8579230576,-87.6652118713,restaurant,el tacotote restaurant,1536 w 18th st ,Lower West Side
Risk 1 (High),60629.0,41.7788275763,-87.7054342665,restaurant,el taino restaurant,3259 w 63rd st ,Chicago Lawn
Risk 1 (High),60632.0,41.8005749503,-87.7331763478,other,el tarasco,4358 w 51 st st ,Archer Heights
Risk 1 (High),60632.0,41.8005749503,-87.7331763478,restaurant,el tarasco,4358 w 51st st ,Archer Heights
Risk 1 (High),60644.0,41.8656158249,-87.770782638,other,el tarasquito,5840 w roosevelt rd ,Austin
Risk 1 (High),60608.0,41.8523938231,-87.6685735914,restaurant,"el tequis restaurant and bar, ltd.",1700 w cermak rd ,Lower West Side
Risk 3 (Low),60632.0,41.8141045064,-87.694529086,other,el tio chamoy,4348 s california ave ,Brighton Park
Risk 1 (High),60629.0,41.7775098362,-87.7228789218,restaurant,el tio mario,6336 s pulaski rd ,West Lawn
Risk 3 (Low),60640.0,41.9761872415,-87.6762649069,other,el tipico,1834 w foster ave ,Lincoln Square
Risk 2 (Medium),60651.0,41.902331663,-87.7404589449,restaurant,el tipico,4545 w division st ,Humboldt Park
Risk 1 (High),60640.0,41.9759620695,-87.6766445054,restaurant,el tipico mexican grill,1905-1907 w foster ave ,Lincoln Square
Risk 2 (Medium),60618.0,41.9610942748,-87.7057375425,bakery,el trigal food and bakery,3059 w montrose ave ,Irving Park
Risk 2 (Medium),60618.0,41.9610904949,-87.7060943766,bakery,el trigal mexicana bakery,3107 w montrose ave ,Irving Park
Risk 3 (Low),60613.0,41.9536289505,-87.6543734836,other,el tropico inc,3933-3935 n sheridan rd ,Lake View
Risk 3 (Low),60647.0,41.9172553581,-87.7099011082,other,el ultimo brinco rest,3273 w armitage ave ,Logan Square
Risk 1 (High),60622.0,41.896165935,-87.6759854741,restaurant,el valle restaurant,806 n winchester ave ,East Village
Risk 1 (High),60608.0,41.8557317661,-87.6755176839,daycare (2 - 6 years),el valor corporation,1951 w 19th st ,Lower West Side
Risk 2 (Medium),60623.0,41.8442102987,-87.7192730391,restaurant,"el vaso loko, inc.",3751 w 26th st ,Little Village
Risk 1 (High),60618.0,41.9612682129,-87.7107530435,restaurant,el velero de nayarit,3300 w montrose ave ,Albany Park
Risk 1 (High),60623.0,41.8441764376,-87.7219558405,restaurant,el veneno de la villita,3857 w 26th st ,Little Village
Risk 1 (High),60647.0,41.9100981128,-87.7171658681,restaurant,el vigia restaurant,3612 w north ave ,Humboldt Park
Risk 1 (High),60639.0,41.9172305678,-87.730078837,restaurant,el vigia restaurant,4124 w armitage ave ,Hermosa
Risk 1 (High),60639.0,41.9099521123,-87.7295305621,restaurant,"el vitor nacatacos #2, inc.",4114 w north ave ,Humboldt Park
Risk 1 (High),60623.0,41.8429252062,-87.7148927306,restaurant,el vitor naco tacos,2648 s central park ave ,Little Village
Risk 1 (High),60608.0,41.8556594771,-87.6628674311,restaurant,el volcanazzoo,1911 s blue island ave ,Lower West Side
Risk 3 (Low),60647.0,41.9157610232,-87.6972958109,grocery store,el yunque food & liquor,1900 n california ave ,Logan Square
Risk 3 (Low),60625.0,41.9686666778,-87.6956345479,other,el- romance,2644 w lawrence ave ,Lincoln Square
Risk 2 (Medium),60630.0,41.9684047963,-87.7278855102,grocery store,el-jeeb grocery & meat,4805 n pulaski rd ,Albany Park
Risk 3 (Low),60641.0,41.9607592015,-87.729234391,other,el-mont tap,4397 n elston ave ,Irving Park
Risk 3 (Low),60660.0,41.9847967357,-87.6602523892,grocery store,el-shaddai food market,5638 n broadway ,Edgewater
Risk 1 (High),60609.0,41.8105070968,-87.6753116387,restaurant,elaine chop suey,4512 s damen ave ,New City
Risk 1 (High),60609.0,41.8091604342,-87.6750991917,restaurant,elaine chop suey inc,4638 s damen ave ,New City
Risk 2 (Medium),60614.0,41.9152499868,-87.6342932681,restaurant,elaine's coffee call,1816 n clark st ,Old Town
Risk 3 (Low),60625.0,41.968383154,-87.7038187349,other,elamaneser,3005 w lawrence ave ,Albany Park
Risk 2 (Medium),60636.0,41.7794773273,-87.6701347329,grocery store,"elbo food mart, inc.,",1822 w 63rd st ,Englewood
Risk 3 (Low),60623.0,41.8590825158,-87.7152727305,other,elbo's bar-b-que house,3600 w 16th st ,North Lawndale
Risk 1 (High),60707.0,41.9091253595,-87.7956202929,restaurant,elbrus restaurant,6818 w north ave ,Galewood
Risk 2 (Medium),60661.0,41.8775924153,-87.6470862206,grocery store,elea mediterranean food market,309 s halsted st ,Greektown
Risk 1 (High),60611.0,41.8934147672,-87.6260066162,restaurant,eleaven food company,54 e ontario st ,River North
Risk 2 (Medium),60618.0,41.9334710798,-87.7143888907,restaurant,elegance,2867 n milwaukee ave ,Avondale
Risk 2 (Medium),60610.0,41.9110395376,-87.6360615211,restaurant,element,233 w north ave ,Old Town
Risk 2 (Medium),60612.0,41.8866492468,-87.6776694261,other,element bars,2021 w fulton st ,United Center
Risk 2 (Medium),60610.0,41.8959932601,-87.634038188,restaurant,"elements, inc.",741 n wells st ,River North
Risk 3 (Low),60609.0,41.8086907596,-87.6674578853,other,elena's restaurant inc.,1700 w 47th st ,New City
Risk 2 (Medium),60642.0,41.9054287827,-87.6594630227,restaurant,eleni's cafe,1301 n elston ave ,West Town
Risk 2 (Medium),60642.0,41.9035903141,-87.6592132092,restaurant,elenis cafe,1250 w division st ,West Town
Risk 1 (High),60601.0,41.8854316706,-87.6261192855,restaurant,elephant & castle,185 n wabash ave ,Loop
Risk 1 (High),60603.0,41.8793012847,-87.6311677928,restaurant,elephant & castle pub & restaurant,111 w adams st ,Loop
Risk 1 (High),60601.0,41.8854316706,-87.6261192855,restaurant,elephant & castle pub & restaurant,185 n wabash ave ,Loop
Risk 1 (High),60603.0,41.8793012847,-87.6311677928,restaurant,elephant & castle pub restaurant,111 w adams st ,Loop
Risk 1 (High),60611.0,41.8950670224,-87.6230272144,restaurant,elephant & castle pub restaurant,160 e huron st ,Streeterville
Risk 3 (Low),60611.0,41.8989485417,-87.6239749877,grocery store,elephants etc inc,875 n michigan ave ,Magnificent Mile
Risk 1 (High),60605.0,41.8688341049,-87.6260089504,restaurant,eleven city diner,1112 s wabash ave ,Loop
Risk 1 (High),60614.0,41.923906304,-87.6392866956,restaurant,eleven city diner,2301-2315 n clark st ,Lincoln Park
Risk 2 (Medium),60630.0,41.9684047963,-87.7278855102,grocery store,elgeeb grocery,4805 n pulaski rd ,Albany Park
Risk 2 (Medium),60623.0,41.840061969,-87.725508399,school,eli whitney elementary school,2815 s komensky  (4032w) ,Little Village
Risk 1 (High),60623.0,41.839204506,-87.7254832772,school,eli whitney elementary school/annex,2845 s komensky ave ,Little Village
Risk 2 (Medium),60666.0,42.0085364009,-87.9144284393,restaurant,eli's cheesecake,11601 w touhy ave ,other
Risk 1 (High),60634.0,41.9599501856,-87.7940912316,restaurant,eli's cheesecake world,6701 w forest preserve ave ,Dunning
Risk 2 (Medium),60637.0,41.7733569462,-87.6083759219,restaurant,eli's grab-n-go,6652 s langley ave ,Woodlawn
Risk 1 (High),60618.0,41.9533778816,-87.7188482337,restaurant,elias enterprise inc,3970 n elston ave ,Irving Park
Risk 1 (High),60632.0,41.7975439054,-87.703523332,restaurant,elias restaurant,5249 s kedzie ave ,Gage Park
Risk 2 (Medium),60625.0,41.9684551723,-87.6945351972,restaurant,elinas cafe,2617 w lawrence ave ,Lincoln Square
Risk 2 (Medium),60614.0,41.924892804,-87.6481983973,restaurant,elio pizza on fire ii inc,2360 n lincoln ave ,Lincoln Park
Risk 3 (Low),60622.0,41.8965441305,-87.6867158356,grocery store,elite car service,823 n western ave ,Ukrainian Village
Risk 1 (High),60661.0,41.8883656606,-87.6441695346,other,"elite personal chefs, llc",353 n desplaines st 3501,West Loop
Risk 1 (High),60625.0,41.9696932641,-87.6887931897,restaurant,elizabeth  restaurant,4835 n western ave ,Lincoln Square
Risk 3 (Low),60622.0,,,other,ella vanilla llc,2217 w crystal st apt 2,other
Risk 2 (Medium),60607.0,41.8778613002,-87.6593320723,restaurant,ella's corner,1258 w jackson blvd ,West Loop
Risk 1 (High),60614.0,41.9217194988,-87.665019424,restaurant,ellen's kitchen,1450 w webster ave ,Lincoln Park
Risk 1 (High),60643.0,41.6992030515,-87.6688445609,restaurant,ellie's,10701 s hale ave ,Morgan Park
Risk 1 (High),60644.0,41.8855060007,-87.7665515681,school,ellington elementary school,243 n parkside ,Austin
Risk 1 (High),60631.0,42.0024589904,-87.815877211,restaurant,elliott's seafood and chop house grill,6688-6690 n northwest hwy ,Edison Park
Risk 2 (Medium),60660.0,41.9980503341,-87.6629852887,restaurant,ellipsis coffeehouse,1259 w devon ave ,Edgewater
Risk 1 (High),60610.0,41.9110688171,-87.6317106336,restaurant,elly's pancake house,101 w north ave ,Old Town
Risk 1 (High),60630.0,41.9767343425,-87.7688626356,restaurant,elly's pancake house,5308-5312 n milwaukee ave ,Jefferson Park
Risk 2 (Medium),60610.0,41.9032784014,-87.6291285334,restaurant,elm street liquors,12 w elm st ,Rush & Division
Risk 3 (Low),60628.0,41.6761433479,-87.6417061216,other,elnatour food inc,11957 s halsted st ,West Pullman
Risk 3 (Low),60628.0,41.6965228226,-87.6426557992,other,elnora's health unlimi,10844 s halsted st ,Morgan Park
Risk 3 (Low),60628.0,41.6965228226,-87.6426557992,grocery store,elnora's health unlimited,10844 s halsted st ,Morgan Park
Risk 3 (Low),60607.0,41.8842959579,-87.6607703461,restaurant,elske,1350 w randolph st ,West Loop
Risk 1 (High),60651.0,41.8999238112,-87.7386833545,other,elston avenue food company,1036 n kilbourn ave ,Humboldt Park
Risk 2 (Medium),60641.0,41.9597906694,-87.7282631463,grocery store,elston chicken poultry,4350 n elston ave ,Irving Park
Risk 3 (Low),60659.0,41.9828976826,-87.7138001751,other,elston grill,3401 w bryn mawr ave ,North Park
Risk 2 (Medium),60641.0,41.959750353,-87.7282045456,grocery store,elston grocers,4348 n elston ave ,Irving Park
Risk 1 (High),60647.0,41.9322808531,-87.6881900575,restaurant,elston nugget inc,2406 w diversey ave ,Avondale
Risk 3 (Low),60622.0,41.8910111865,-87.6721474585,other,elti's cafe,1800 w grand ave ,West Town
Risk 1 (High),60647.0,41.9172354471,-87.7116585516,restaurant,elvia gama,3333 w armitage ave ,Logan Square
Risk 3 (Low),60613.0,41.9615751372,-87.6782691813,other,ely's bakery,1956 w montrose ave ,Lincoln Square
Risk 2 (Medium),60612.0,41.8866748224,-87.6759078357,bakery,elysia root cakes,1939 w fulton st ,United Center
Risk 2 (Medium),60647.0,41.9158326914,-87.6917509133,other,elysia root cakes,2548 w cortland st ,Logan Square
Risk 2 (Medium),60612.0,41.8874340503,-87.6818494943,bakery,elysia root cakes,324 n leavitt st ,United Center
Risk 1 (High),60611.0,41.8998349207,-87.6277991724,restaurant,elysian hotel chicago,11 e walton st ,Rush & Division
Risk 1 (High),60654.0,41.8909354041,-87.6309448012,restaurant,ema,74 w illinois st ,River North
Risk 3 (Low),60643.0,41.6922301318,-87.661565708,grocery store,eman gas & food inc.,1530 w 111th st ,Morgan Park
Risk 1 (High),60620.0,,,daycare combo 1586,emanuel early childhood center,7911 s woods bldg ,other
Risk 3 (Low),60611.0,41.8927105846,-87.6201306584,grocery store,embassy gifts,300 e ohio st ,Streeterville
Risk 3 (Low),60654.0,41.8889619568,-87.6309067724,restaurant,embassy gifts,353 n clark st ,River North
Risk 3 (Low),60611.0,41.8914048807,-87.6200812297,other,embassy gifts,511 n columbus dr ,Streeterville
Risk 1 (High),60654.0,41.8925011669,-87.6282427378,restaurant,embassy suites,600 n state st ,River North
Risk 1 (High),60611.0,41.8914048807,-87.6200812297,restaurant,embassy suites hotel,511 n columbus dr ,Streeterville
Risk 1 (High),60661.0,41.8845433977,-87.6423313867,restaurant,embeya,564 w randolph st ,West Loop
Risk 2 (Medium),60639.0,41.917142303,-87.7374032369,grocery store,emelia ocampo,4422 w armitage ave ,Hermosa
Risk 1 (High),60613.0,41.9538964148,-87.6546757421,restaurant,emerald city co,3938 n sheridan rd ,Wrigleyville
Risk 1 (High),60640.0,41.9654609167,-87.6606409266,restaurant,emerald city coffee,1224 w wilson ave ,Uptown
Risk 1 (High),60613.0,41.9538964148,-87.6546757421,restaurant,emerald city coffee,3938 n sheridan rd ,Wrigleyville
Risk 1 (High),60616.0,41.8529501095,-87.6328414611,restaurant,emerald city restaurant,218 w cermak rd ,Chinatown
Risk 1 (High),60631.0,42.0023773668,-87.8157484216,restaurant,emerald isle,6684-6686 n northwest hwy ,Edison Park
Risk 1 (High),60601.0,41.8862114893,-87.6264522596,restaurant,emerald loop bar & grill,216 n wabash ave ,Loop
Risk 1 (High),60623.0,41.8413918132,-87.7343499697,school,emiliano zapata academy,2728 s kostner ,Little Village
Risk 2 (Medium),60647.0,41.9225974657,-87.6970976291,grocery store,emilio's produce,2294 n milwaukee ave ,Logan Square
Risk 1 (High),60611.0,41.8924601867,-87.622036789,restaurant,emilio's tapas,215 e ohio st ,Streeterville
Risk 1 (High),60614.0,41.9256872635,-87.6409582396,restaurant,emilio's-tapas chicago,444 w fullerton pkwy ,Lincoln Park
Risk 1 (High),60606.0,41.8832343478,-87.6366490619,restaurant,emils,101 n wacker dr ,Loop
Risk 1 (High),60639.0,41.909319299,-87.7613505509,restaurant,emma's breakfast and lunch,5419 w north ave ,Austin
Risk 1 (High),60620.0,41.7428550022,-87.6728143075,school,emmanuel christian school,8301 s damen st bldg ,Auburn Gresham
Risk 3 (Low),60608.0,41.8557508407,-87.6741486743,other,emmanuel ice cream,1915 w 19th st ,Lower West Side
Risk 1 (High),60644.0,41.8803764249,-87.7632749739,school,emmet elementary,5500 w madison ave ,Austin
Risk 1 (High),60654.0,41.891134744,-87.647295851,restaurant,emmit's on clybourn,495 n milwaukee ave ,West Town
Risk 2 (Medium),60652.0,41.7497620947,-87.6920883972,other,emmy's taste of soul,2749 w 79th st ,Ashburn
Risk 1 (High),60657.0,41.9420104545,-87.6521689121,restaurant,empanadas burgers & more,3307 n clark st ,Lake View
Risk 1 (High),60657.0,41.9345619534,-87.6686210723,restaurant,emperor cuisine,2910 n ashland ave ,Lake View
Risk 1 (High),60657.0,41.9345619534,-87.6686210723,restaurant,emperor wok,2910 n ashland ave ,Lake View
Risk 1 (High),60616.0,41.8517760174,-87.6321353697,restaurant,emperor's choice restaurant,2238 s wentworth ave ,Chinatown
Risk 1 (High),60610.0,41.9038074379,-87.6304935917,restaurant,empire restaurant,49 w division st ,Rush & Division
Risk 3 (Low),60640.0,41.9759857417,-87.6747659318,other,empirical brewery,1801 w foster ave ,Lincoln Square
Risk 3 (Low),60642.0,41.9065432487,-87.6716926295,other,emporium arcade bar,1366 n milwaukee ave ,Wicker Park
Risk 3 (Low),60622.0,41.9065432487,-87.6716926295,restaurant,emporium arcade bar,1366-1368 n milwaukee ave ,Wicker Park
Risk 2 (Medium),60647.0,41.9242608214,-87.6993317479,restaurant,emporium logan square,2363-2365 n milwaukee ave ,Logan Square
Risk 1 (High),60617.0,41.7262312835,-87.5575594667,daycare above and under 2 years,"empowering young minds, llc",2711 e 93rd st ,Calumet Heights
Risk 1 (High),60622.0,41.9086539086,-87.6745493658,restaurant,en hakkore 2.0,1467 n milwaukee ave ,Wicker Park
Risk 1 (High),60647.0,41.9150000059,-87.6777069283,restaurant,en hakkore inc.,1840 n damen ave ,Bucktown
Risk 1 (High),60660.0,41.9921914596,-87.6604837692,restaurant,"en lai asian grill, inc.",6044 n broadway ,Edgewater
Risk 1 (High),60655.0,41.7063013276,-87.7006346583,other,en lai restaurant,3154 w 103rd st ,Mount Greenwood
Risk 1 (High),60660.0,41.985475801,-87.6690405746,grocery store,en-thai-ce,5701 n clark st ,Edgewater
Risk 3 (Low),60632.0,41.8209482676,-87.7018796246,grocery store,enano's food mart inc,3058 w 40th st ,Brighton Park
Risk 3 (Low),60619.0,41.7584627971,-87.6182288743,other,enchanting cafe and lounge,300 e 75th st ,Grand Crossing
Risk 1 (High),60632.0,41.807705993,-87.7280748315,restaurant,"enchiladas lupita, inc.",4151 w 47th st ,Archer Heights
Risk 1 (High),60601.0,41.884363187,-87.6325740733,restaurant,encore liquor lounge 7 lunch club,153 w randolph st ,Loop
Risk 3 (Low),60643.0,41.7107767875,-87.6818994844,other,end zone tap,10036 s western ave ,Beverly
Risk 1 (High),60613.0,41.946788878,-87.675947031,restaurant,endgrain,1851 w addison st ,North Center
Risk 1 (High),60639.0,41.9311507871,-87.767399297,restaurant,endis,5625 w diversey ave ,Belmont Cragin
Risk 1 (High),60618.0,41.936780375,-87.7198173408,grocery store,endy's deli inc.,3055 n milwaukee ave ,Avondale
Risk 1 (High),60618.0,41.936780375,-87.7198173408,grocery store,"endy's delicatessen, inc",3055 n milwaukee ave ,Avondale
Risk 3 (Low),60659.0,41.9962818298,-87.6899828491,other,enemy kitchen,6310 n western ave ,West Ridge
Risk 3 (Low),60630.0,41.9681141365,-87.7296322493,restaurant,energy and health club,4039 w lawrence ave ,Albany Park
Risk 2 (Medium),60608.0,41.8533014641,-87.6499296953,restaurant,energym fitness center,2150 s canalport ave ,Lower West Side
Risk 1 (High),60645.0,42.0141839829,-87.6903783498,restaurant,eng's asian cuisine,7300 n western ave ,West Ridge
Risk 3 (Low),60636.0,41.7867728973,-87.67119352,other,engel food,1848 w 59th st ,Englewood
Risk 1 (High),60621.0,41.7814927026,-87.634941634,school,englewood  (h/s),6201 s stewart (400w) ,Englewood
Risk 2 (Medium),60620.0,41.7359732881,-87.6580683786,grocery store,englewood citgo,1356 w 87th st ,Auburn Gresham
Risk 3 (Low),60636.0,41.7867728973,-87.67119352,other,englewood grocery,1848 w 59th st ,Englewood
Risk 3 (Low),60637.0,41.7731669768,-87.6105713053,grocery store,englewood grocery food,600 e 67th st ,Woodlawn
Risk 3 (Low),60621.0,41.7635193203,-87.6298730712,other,englewood grocery food,7200 s wentworth ave ,Grand Crossing
Risk 3 (Low),60636.0,41.7823407538,-87.66443621,grocery store,englewood marathon,6124 s ashland ave ,Englewood
